ticker,conditions,correction,exchange,id,participant_timestamp,price,sequence_number,sip_timestamp,size,tape,trf_id,trf_timestamp
MSFT,"12,37",,11,27,1679990452675681536,275.52,1862,1679990452676032312,49,3,,0
MSFT,"12,37",,11,28,1679990452675681536,275.4,1863,1679990452676032718,5,3,,0
MSFT,"12,37",,11,29,1679990452675681536,275.4,1864,1679990452676032856,29,3,,0
MSFT,"14,12,37,41",,11,30,1679990452948048384,275.79,1865,1679990452948391815,8,3,,0
MSFT,"12,37",,11,31,1679990453250728192,275.4,1867,1679990453251070038,4,3,,0
MSFT,"14,12,37,41",,11,32,1679990454934253312,275.86,1871,1679990454934595574,20,3,,0
MSFT,"12,37",,12,24,1679990455262442242,275.22,1873,1679990455262457719,21,3,,0
MSFT,"12,37",,11,33,1679990455262495744,275.4,1874,1679990455262851977,67,3,,0
MSFT,"12,37",,11,34,1679990455262495744,275.4,1875,1679990455262852130,33,3,,0
MSFT,"12,37",,12,25,1679990455361634614,275.2,1883,1679990455361649732,20,3,,0
MSFT,"12,37",,11,35,1679990455361653248,275.4,1884,1679990455362000256,67,3,,0
MSFT,"12,37",,11,36,1679990455361653248,275.4,1885,1679990455362000559,34,3,,0
MSFT,"14,12,37,41",,11,37,1679990462030331648,275.4,1895,1679990462030673347,1,3,,0
MSFT,12,,12,26,1679990462369561751,275.2,1900,1679990462369577156,121,3,,0
MSFT,"12,37",,12,27,1679990462469115612,275.01,1908,1679990462469132351,6,3,,0
MSFT,"12,37",,12,28,1679990462469115612,275,1909,1679990462469138560,5,3,,0
MSFT,"12,37",,12,29,1679990462469115612,275,1910,1679990462469138853,10,3,,0
MSFT,"12,37",,11,38,1679990462469133056,275.4,1911,1679990462469479533,28,3,,0
MSFT,"12,37",,11,39,1679990462469133056,275,1912,1679990462469479830,72,3,,0
MSFT,"12,37",,11,40,1679990467546051840,275.25,1929,1679990467546397372,28,3,,0
MSFT,"12,37",,11,41,1679990467546051840,275.04,1930,1679990467546397526,20,3,,0
MSFT,"14,12,37,41",,12,30,1679990467546450425,275.04,1931,1679990467546466505,18,3,,0
MSFT,"12,37",,11,42,1679990467546858752,275,1932,1679990467547203032,28,3,,0
MSFT,"12,37",,11,43,1679990467546858752,275,1933,1679990467547203185,2,3,,0
MSFT,"14,12,37,41",,8,23,1679990467547122000,275.1,1934,1679990467547362185,25,3,,0
MSFT,"14,12,41",,12,31,1679990468293348819,275.01,1943,1679990468293364535,121,3,,0
MSFT,"12,37",,12,32,1679990468484409255,275,1946,1679990468484426640,28,3,,0
MSFT,"12,37",,12,33,1679990468484409255,275,1947,1679990468484429153,50,3,,0
